model,tier,pr_auc,roc_auc,f1,precision,recall
xgboost,tier2_ensemble,0.8222289757520673,0.9738405695444592,0.8433734939759037,0.9859154929577465,0.7368421052631579
lightgbm,tier2_ensemble,0.8213410842194132,0.9776309053865357,0.8379888268156425,0.8928571428571429,0.7894736842105263
voting,tier3_meta,0.8188528076211408,0.971929329068377,0.8304093567251462,0.9342105263157895,0.7473684210526316
random_forest,tier2_ensemble,0.8137616886669211,0.9726113442509028,0.7936507936507936,0.7978723404255319,0.7894736842105263
knn,tier1_single,0.7948085261479314,0.9051249153403711,0.8048780487804879,0.9565217391304348,0.6947368421052632
adaboost,tier2_ensemble,0.7704163966623555,0.9597347192273282,0.8047337278106509,0.918918918918919,0.7157894736842105
bagging,tier2_ensemble,0.7661069089140473,0.9092801817963913,0.8165680473372781,0.9324324324324325,0.7263157894736842
stacking,tier3_meta,0.7510376459576005,0.9725701873613974,0.17945945945945946,0.1,0.8736842105263158
decision_tree,tier1_single,0.738830504689304,0.8943759993087873,0.4854368932038835,0.35046728971962615,0.7894736842105263
logistic_regression,tier1_single,0.6768083079818262,0.9626226693633875,0.10407523510971786,0.05533333333333333,0.8736842105263158
