model,tier,train_pr_auc,pr_auc_gap,pr_auc,roc_auc,f1,precision,recall
xgboost,tier2_ensemble,0.9999586640211642,0.1663,0.8336146655444754,0.968430343125824,0.8333333333333334,0.958904109589041,0.7368421052631579
lightgbm,tier2_ensemble,1.0,0.1793,0.820680489909592,0.966148783549136,0.8117647058823529,0.92,0.7263157894736842
voting,tier3_meta,1.0,0.1884,0.8115998275711107,0.977635550633658,0.8333333333333334,0.958904109589041,0.7368421052631579
stacking,tier3_meta,0.9994722195907815,0.1925,0.8069253539291836,0.9774449096917507,0.09656777196044211,0.05110837438423645,0.8736842105263158
bagging,tier2_ensemble,0.9329555808536591,0.1506,0.7823606014336231,0.9672333558472976,0.8263473053892215,0.9583333333333334,0.7263157894736842
random_forest,tier2_ensemble,0.9835989169277721,0.2048,0.7788431287164177,0.9773202312589827,0.3278008298755187,0.2041343669250646,0.8315789473684211
knn,tier1_single,0.9043779365904805,0.1268,0.777557782306101,0.9103040871671332,0.7852760736196319,0.9411764705882353,0.6736842105263158
logistic_regression,tier1_single,0.7423305580118804,0.0735,0.6688352501990271,0.963037304121542,0.10526315789473684,0.05600539811066127,0.8736842105263158
adaboost,tier2_ensemble,0.7573169279807827,0.0934,0.6638782018116015,0.9676764195178419,0.15701668302257116,0.08658008658008658,0.8421052631578947
decision_tree,tier1_single,0.814223392511991,0.1725,0.6417699499150458,0.8942100710815716,0.43478260869565216,0.3,0.7894736842105263
